Date Time	Download Speed
2019-07-29 06:49:44	92.97	
2019-07-29 06:55:06	99.66	
2019-07-29 07:00:29	136.68	
2019-07-29 07:05:51	172.83	
2019-07-29 07:11:13	87.70	
2019-07-29 07:16:35	105.15	
2019-07-29 07:21:58	146.28	
2019-07-29 07:27:20	113.77	
2019-07-29 07:32:42	101.41	
2019-07-29 07:38:04	79.93	
2019-07-29 07:43:27	92.78	
2019-07-29 07:48:49	109.08	
2019-07-29 07:54:11	84.18	
2019-07-29 07:59:33	84.81	
2019-07-29 08:04:55	139.18	
2019-07-29 08:10:18	87.05	
2019-07-29 08:15:40	87.31	
2019-07-29 08:21:02	97.95	
2019-07-29 08:26:24	91.49	
2019-07-29 08:31:46	75.70	
2019-07-29 08:37:08	94.55	
2019-07-29 08:42:31	94.99	
2019-07-29 08:47:53	112.31	
2019-07-29 08:53:15	82.93	
2019-07-29 08:58:37	119.50	
2019-07-29 09:04:00	100.08	
2019-07-29 09:09:22	104.20	
2019-07-29 09:14:44	116.38	
2019-07-29 09:20:06	94.90	
2019-07-29 09:25:28	81.84	
2019-07-29 09:30:51	88.67	
2019-07-29 09:36:13	90.04	
2019-07-29 09:41:35	124.01	
2019-07-29 09:46:57	83.59	
2019-07-29 09:52:20	101.83	
2019-07-29 09:57:42	85.95	
2019-07-29 10:03:04	94.68	
2019-07-29 10:08:26	163.91	
2019-07-29 10:13:49	107.36	
2019-07-29 10:18:49	0	
2019-07-29 10:24:31	163.75	
2019-07-29 10:29:31	0	
2019-07-29 10:34:31	0	
2019-07-29 10:40:33	171.86	
2019-07-29 10:45:56	131.18	
2019-07-29 10:51:18	144.47	
2019-07-29 10:56:40	88.32	
2019-07-29 11:02:02	124.70	
2019-07-29 11:07:24	135.15	
2019-07-29 11:12:46	104.29	
2019-07-29 11:18:10	163.12	
2019-07-29 11:23:32	166.67	
2019-07-29 11:28:54	143.46	
2019-07-29 11:34:16	170.51	
2019-07-29 11:39:39	172.50	
2019-07-29 11:45:01	113.50	
2019-07-29 11:50:23	116.27	
2019-07-29 11:55:45	110.30	
2019-07-29 12:01:07	114.19	
2019-07-29 12:06:30	172.68	
2019-07-29 12:11:52	112.70	
2019-07-29 12:17:14	128.62	
2019-07-29 12:22:36	155.68	
2019-07-29 12:27:58	94.15	
2019-07-29 12:33:23	149.82	
2019-07-29 12:38:50	168.30	
2019-07-29 12:44:12	119.29	
2019-07-29 12:49:34	144.04	
2019-07-29 12:54:57	146.30	
2019-07-29 13:00:19	155.79	
2019-07-29 13:05:41	155.39	
2019-07-29 13:11:03	107.81	
2019-07-29 13:16:26	134.51	
2019-07-29 13:21:48	173.79	
2019-07-29 13:27:10	99.75	
2019-07-29 13:32:39	120.21	
2019-07-29 13:38:01	114.85	
2019-07-29 13:43:23	109.67	
2019-07-29 13:48:23	0	
2019-07-29 13:53:23	0	
2019-07-29 13:59:26	140.41	
2019-07-29 14:04:48	91.11	
2019-07-29 14:10:10	143.96	
2019-07-29 14:15:32	155.55	
2019-07-29 14:20:54	96.79	
2019-07-29 14:26:16	111.27	
2019-07-29 14:31:39	108.07	
2019-07-29 14:37:01	144.30	
2019-07-29 14:42:23	119.76	
2019-07-29 14:47:46	100.83	
2019-07-29 14:53:17	92.94	
2019-07-29 14:58:55	5.74	
2019-07-29 15:04:48	1.52	
2019-07-29 15:10:33	4.11	
2019-07-29 15:16:18	3.50	
2019-07-29 15:22:12	2.69	
2019-07-29 15:28:07	1.06	
2019-07-29 15:33:55	2.25	
2019-07-29 15:39:37	8.76	
2019-07-29 15:45:25	10.94	
2019-07-29 15:51:46	5.82	
2019-07-29 15:57:21	1.87	
2019-07-29 16:02:57	5.46	
2019-07-29 16:07:57	0	
2019-07-29 16:12:57	0	
2019-07-29 16:17:57	0	
2019-07-29 16:22:57	0	
2019-07-29 16:25:04	1.48	
2019-07-29 16:30:35	7.21	
2019-07-29 16:36:19	0.64	
2019-07-29 16:41:41	121.40	
2019-07-29 16:46:41	0	
2019-07-29 16:51:41	0	
2019-07-29 16:56:41	0	
2019-07-29 17:01:41	0	
2019-07-29 17:08:23	100.61	
2019-07-29 17:13:45	132.10	
2019-07-29 17:19:29	1.83	
2019-07-29 17:24:59	123.27	
2019-07-29 17:30:30	102.45	
2019-07-29 17:36:00	46.44	
2019-07-29 17:41:23	76.26	
2019-07-29 17:46:45	173.61	
